,,Persistence,EnsembleClassifier,ConformalEnsemble
continuous_metrics,MAE,0.1847368608413252,,
continuous_metrics,MSE,0.10167114523144291,,
exceedance_metrics,MAE,0.32192362185423523,0.17610199831471873,0.17610199831471873
exceedance_metrics,MSE,0.22750992725132088,0.09021251532074473,0.09021251532074473
exceedance_metrics,Brier,0.22750992725132088,0.09021251532074473,0.09021251532074473
exceedance_metrics,PR_AUC,0.9800344947042915,0.9694024607819264,0.9694024607819264
exceedance_metrics,ROC_AUC,0.969647136850712,0.9505972719737427,0.9505972719737427
exceedance_metrics,Precision,0.9945548481145625,0.9222985363251426,0.9982798165137615
exceedance_metrics,Recall,0.7156983740088242,0.8534910987010583,0.5908796396285212
exceedance_metrics,F1,0.8323928625895989,0.8865617588616115,0.7423587556933812
exceedance_metrics,Specificity,0.9942819837464263,0.8950721505594201,0.9985142162490714
